material_id,formula,energy_above_hull (eV/atom),energy_per_atom (eV/atom),density (g/cm³),band_gap (eV),bulk_modulus_K_VRH (GPa),shear_modulus_G_VRH (GPa),youngs_modulus_E(GPa),epsilon(k),epsilon_var,epsilon_delta,epsilon_ratio
mp-634859,CaO2,0.0,-6.173734116666668,3.312892458777454,2.7345,,,,3.381170960000001,0.002764475775943149,0.11153537999999896,1.0333539563859664
mp-1345,CaP,0.0,-9.276643459166666,2.438949924979277,0.34430000000000005,52.86572104018912,33.415080039341404,82.79998419589467,8.19818330666667,4.30548717209569,4.4016699946195885,1.6539439145607662
mp-24130,CaP2(HO)4,0.0,-6.015699982272728,2.042859348934303,5.5901,,,,,,,
mp-643898,CaP2H2O7,0.0,-7.103864877083333,2.418835430780301,5.7059999999999995,,,,,,,
mp-1214543,CaP2H5NO7,0.0,-6.640005386796875,2.217402723259624,5.2103,,,,,,,
mp-3545,CeMgSi2,0.0,-5.084023117500001,4.405614795843682,0.0,,,,,,,
mp-2493,CeN,0.0,-21.730855215,7.769274573230603,0.0,143.0,76.48343789209537,194.73275915350425,,,,
mp-10688,CeO,0.0,-8.67468693,8.465653204880008,0.0,147.66666666666666,81.05063663075416,205.54558768367477,,,,
mp-20194,CeO2,0.0,-9.204800156666666,6.994759103664203,1.8647,170.66666666666666,74.28051948051947,194.60799758991305,7.96461853,1.0634078600244431e-13,7.432220616720997e-07,1.0000000933154658
mp-2154,CeP,0.0,-21.67835144,5.464084558257399,0.0,69.33333333333334,50.12222222222222,121.16843872411863,,,,
mp-22524,CeP2O7,0.0,-8.2495002705,3.030298353210552,1.3714,,,,,,,
mp-566,CeP5,0.0,-13.279467675,3.811109332082355,0.0,,,,,,,
